month	depth	latitude	longitude	chl	phyc	time
10	0.49402538	21.75	119.25	0.02727609	0.19948092	2021-10-01
10	0.49402538	21.75	119.5	0.025480345	0.19821844	2021-10-01
10	0.49402538	21.75	119.75	0.035178766	0.21338803	2021-10-01
10	0.49402538	21.75	120.0	0.04966175	0.23479152	2021-10-01
10	0.49402538	21.75	120.25	0.05431162	0.24141951	2021-10-01
10	0.49402538	21.75	120.5	0.046507284	0.23136678	2021-10-01
10	0.49402538	21.75	120.75	0.048250154	0.25178903	2021-10-01
10	0.49402538	21.75	121.0	0.054886296	0.28217733	2021-10-01
10	0.49402538	21.75	121.25	0.053801656	0.27965212	2021-10-01
10	0.49402538	21.75	121.5	0.038178604	0.24816217	2021-10-01
10	0.49402538	21.75	121.75	0.017845226	0.1947101	2021-10-01
10	0.49402538	21.75	122.0	0.013535121	0.17588902	2021-10-01
10	0.49402538	21.75	122.25	0.013949901	0.16539134	2021-10-01
10	0.49402538	21.75	122.5	0.014894217	0.16301468	2021-10-01
10	0.49402538	21.75	122.75	0.015551439	0.1609367	2021-10-01
10	0.49402538	21.75	123.0	0.015302688	0.15954351	2021-10-01
10	0.49402538	22.0	119.25	0.031338505	0.20859483	2021-10-01
10	0.49402538	22.0	119.5	0.029212413	0.20390543	2021-10-01
10	0.49402538	22.0	119.75	0.03401851	0.21253513	2021-10-01
10	0.49402538	22.0	120.0	0.046178993	0.23327273	2021-10-01
10	0.49402538	22.0	120.25	0.044288017	0.23096454	2021-10-01
10	0.49402538	22.0	120.5	0.037527658	0.22516608	2021-10-01
10	0.49402538	22.0	121.0	0.0633194	0.3276151	2021-10-01
10	0.49402538	22.0	121.25	0.059124626	0.30667645	2021-10-01
10	0.49402538	22.0	121.5	0.048576374	0.28692102	2021-10-01
10	0.49402538	22.0	121.75	0.024697745	0.21813162	2021-10-01
10	0.49402538	22.0	122.0	0.014142445	0.18020794	2021-10-01
10	0.49402538	22.0	122.25	0.013757558	0.16694857	2021-10-01
10	0.49402538	22.0	122.5	0.014544351	0.16361235	2021-10-01
10	0.49402538	22.0	122.75	0.015400876	0.16142544	2021-10-01
10	0.49402538	22.0	123.0	0.015683884	0.16002673	2021-10-01
10	0.49402538	22.25	119.25	0.0349215	0.22256032	2021-10-01
10	0.49402538	22.25	119.5	0.03170757	0.21292982	2021-10-01
10	0.49402538	22.25	119.75	0.03292453	0.21455096	2021-10-01
10	0.49402538	22.25	120.0	0.03637557	0.22326359	2021-10-01
10	0.49402538	22.25	120.25	0.035705574	0.22750601	2021-10-01
10	0.49402538	22.25	120.5	0.03314439	0.23852897	2021-10-01
10	0.49402538	22.25	121.0	0.06003464	0.32985842	2021-10-01
10	0.49402538	22.25	121.25	0.06526285	0.32993752	2021-10-01
10	0.49402538	22.25	121.5	0.060686424	0.32780275	2021-10-01
10	0.49402538	22.25	121.75	0.042965293	0.28082278	2021-10-01
10	0.49402538	22.25	122.0	0.019360453	0.20179707	2021-10-01
10	0.49402538	22.25	122.25	0.013757296	0.16997018	2021-10-01
10	0.49402538	22.25	122.5	0.014153346	0.16402563	2021-10-01
10	0.49402538	22.25	122.75	0.014931221	0.16218457	2021-10-01
10	0.49402538	22.25	123.0	0.015665304	0.16073345	2021-10-01
10	0.49402538	22.5	119.25	0.039673515	0.23716852	2021-10-01
10	0.49402538	22.5	119.5	0.03578287	0.22662026	2021-10-01
10	0.49402538	22.5	119.75	0.03363838	0.22244534	2021-10-01
10	0.49402538	22.5	120.0	0.03245425	0.2208174	2021-10-01
10	0.49402538	22.5	120.25	0.032851048	0.23350856	2021-10-01
10	0.49402538	22.5	120.5	0.033118192	0.25575036	2021-10-01
10	0.49402538	22.5	121.0	0.045715913	0.28013897	2021-10-01
10	0.49402538	22.5	121.25	0.06924847	0.34587654	2021-10-01
10	0.49402538	22.5	121.5	0.06787296	0.35787973	2021-10-01
10	0.49402538	22.5	121.75	0.058957294	0.33452272	2021-10-01
10	0.49402538	22.5	122.0	0.032464433	0.24758942	2021-10-01
10	0.49402538	22.5	122.25	0.015806315	0.183028	2021-10-01
10	0.49402538	22.5	122.5	0.013962573	0.16521591	2021-10-01
10	0.49402538	22.5	122.75	0.014363868	0.16260998	2021-10-01
10	0.49402538	22.5	123.0	0.015123873	0.16163322	2021-10-01
10	0.49402538	22.75	119.25	0.059619583	0.29630023	2021-10-01
10	0.49402538	22.75	119.5	0.040350165	0.23061083	2021-10-01
10	0.49402538	22.75	119.75	0.03381673	0.22581267	2021-10-01
10	0.49402538	22.75	120.0	0.032413676	0.22316791	2021-10-01
10	0.49402538	22.75	121.25	0.060851842	0.3307562	2021-10-01
10	0.49402538	22.75	121.5	0.06461461	0.35622504	2021-10-01
10	0.49402538	22.75	121.75	0.065703996	0.36022252	2021-10-01
10	0.49402538	22.75	122.0	0.050247166	0.30791762	2021-10-01
10	0.49402538	22.75	122.25	0.02516026	0.2215846	2021-10-01
10	0.49402538	22.75	122.5	0.01482605	0.1742031	2021-10-01
10	0.49402538	22.75	122.75	0.014077575	0.16322853	2021-10-01
10	0.49402538	22.75	123.0	0.014424521	0.16179098	2021-10-01
10	0.49402538	23.0	119.25	0.07485137	0.35681966	2021-10-01
10	0.49402538	23.0	119.5	0.0474177	0.26463616	2021-10-01
10	0.49402538	23.0	119.75	0.034820914	0.23589855	2021-10-01
10	0.49402538	23.0	120.0	0.039695073	0.25706953	2021-10-01
10	0.49402538	23.0	121.5	0.054596014	0.31777847	2021-10-01
10	0.49402538	23.0	121.75	0.065469526	0.36112124	2021-10-01
10	0.49402538	23.0	122.0	0.061199695	0.3479563	2021-10-01
10	0.49402538	23.0	122.25	0.03982526	0.2766241	2021-10-01
10	0.49402538	23.0	122.5	0.020424526	0.20289905	2021-10-01
10	0.49402538	23.0	122.75	0.014497698	0.17099684	2021-10-01
10	0.49402538	23.0	123.0	0.014166628	0.1619533	2021-10-01
10	0.49402538	23.25	119.25	0.07208935	0.3485796	2021-10-01
10	0.49402538	23.25	119.5	0.13057284	0.62277836	2021-10-01
10	0.49402538	23.25	119.75	0.04412836	0.25987628	2021-10-01
10	0.49402538	23.25	120.0	0.07216484	0.43204236	2021-10-01
10	0.49402538	23.25	121.5	0.045557372	0.2772993	2021-10-01
10	0.49402538	23.25	121.75	0.060125485	0.33609384	2021-10-01
